target,prompt_family,concept_label,prompt,source_context_words,lexical_mode,is_valid,validation_errors
dog,direct,dog,a dog under warm afternoon light,,strict,True,
dog,direct,dog,a dog perched on a hillside overlooking a valley,,strict,True,
dog,direct,dog,a dog looking upward in a field of tall wheat,,strict,True,
dog,direct,dog,a dog looking through a gap in a stone wall,,strict,True,
dog,direct,dog,a dog resting under a canopy of autumn trees,,strict,True,
dog,direct,dog,a dog framed by the arch of a stone bridge,,strict,True,
dog,direct,dog,a dog playing in an open field,,strict,True,
dog,direct,dog,a dog poking its head through a gap in a hedge,,strict,True,
dog,direct,dog,a dog crouched low in a play bow stance,,strict,True,
dog,direct,dog,a dog sitting on a stone step in blue evening light,,strict,True,
dog,direct,dog,a dog snoozing in a patch of afternoon sun,,strict,True,
dog,direct,dog,a dog resting its head on a fence rail,,strict,True,
dog,direct,dog,a dog sitting on a stone step in blue evening light,,strict,True,
dog,direct,dog,a dog captured in golden hour light,,strict,True,
dog,direct,dog,a dog rolling in dry grass in warm sunlight,,strict,True,
dog,direct,dog,a dog perched on a hillside overlooking a valley,,strict,True,
dog,direct,dog,a dog resting in a sunny meadow,,strict,True,
dog,direct,dog,a dog nosing through fallen pine needles,,strict,True,
dog,direct,dog,a dog on a cliff edge gazing over a coastal vista,,strict,True,
dog,direct,dog,a dog looking curious in an outdoor setting,,strict,True,
dog,direct,dog,a detailed image of a dog,,strict,True,
dog,direct,dog,a dog watching a trail of ants across a log,,strict,True,
dog,direct,dog,a dog circling before lying down in evening grass,,strict,True,
dog,direct,dog,a dog moving through its environment,,strict,True,
dog,direct,dog,a dog gazing into the distance on a misty morning,,strict,True,
dog,direct,dog,a realistic dog standing outdoors,,strict,True,
dog,direct,dog,a dog sniffing the ground in a wildflower field,,strict,True,
dog,direct,dog,a photo of a dog in a natural setting,,strict,True,
dog,direct,dog,a portrait of a dog looking directly at the camera,,strict,True,
dog,direct,dog,a dog with its nose lifted to the wind,,strict,True,
dog,direct,dog,a realistic dog standing outdoors,,strict,True,
dog,direct,dog,a dog standing in a vineyard row in golden light,,strict,True,
dog,direct,dog,a dog sprinting across a beach at sunrise,,strict,True,
dog,direct,dog,a dog looking upward in a field of tall wheat,,strict,True,
dog,direct,dog,a high-resolution photograph of a dog in the wild,,strict,True,
dog,direct,dog,a dog balanced on a mossy log in the forest,,strict,True,
dog,direct,dog,a dog gazing at ripples on a still pond,,strict,True,
dog,direct,dog,a dog with muddy paws pausing on a forest path,,strict,True,
dog,direct,dog,a dog half-submerged in a mountain lake,,strict,True,
dog,direct,dog,a dog captured in golden hour light,,strict,True,
dog,direct,dog,a dog bounding towards the camera in open space,,strict,True,
dog,direct,dog,a dog standing in morning mist in an empty field,,strict,True,
dog,direct,dog,a dog with a stick in its mouth crossing a field,,strict,True,
dog,direct,dog,a dog moving through its environment,,strict,True,
dog,direct,dog,a dog poking its head through a gap in a hedge,,strict,True,
dog,direct,dog,a dog standing alert in open terrain,,strict,True,
dog,direct,dog,a dog sitting on a stone step in blue evening light,,strict,True,
dog,direct,dog,a dog trotting alongside a fence at sunset,,strict,True,
dog,direct,dog,a dog snoozing in a patch of afternoon sun,,strict,True,
dog,direct,dog,a dog gazing into the distance on a misty morning,,strict,True,
dog,direct,dog,a dog stepping carefully across wet sand,,strict,True,
dog,direct,dog,a candid shot of a dog in an urban park,,strict,True,
dog,direct,dog,a dog framed by the arch of a stone bridge,,strict,True,
dog,direct,dog,a dog gazing at ripples on a still pond,,strict,True,
dog,direct,dog,a dog tracking a scent through tall grass,,strict,True,
dog,direct,dog,a dog at the edge of a snowy field,,strict,True,
dog,direct,dog,a dog pausing to look up in an open meadow,,strict,True,
dog,direct,dog,a dog caught mid-motion in nature,,strict,True,
dog,direct,dog,a dog watching birds from a hilltop,,strict,True,
dog,direct,dog,a dog stepping carefully across wet sand,,strict,True,
dog,direct,dog,a dog rolling in dry grass in warm sunlight,,strict,True,
dog,direct,dog,a dog snoozing in a patch of afternoon sun,,strict,True,
dog,direct,dog,a dog sitting on a snowy hilltop at dawn,,strict,True,
dog,direct,dog,a vivid photograph of a dog,,strict,True,
dog,direct,dog,a dog lapping from a woodland stream,,strict,True,
dog,direct,dog,a portrait of a dog looking directly at the camera,,strict,True,
dog,direct,dog,a candid shot of a dog in an urban park,,strict,True,
dog,direct,dog,a vivid photograph of a dog,,strict,True,
dog,direct,dog,a dog snoozing in a patch of afternoon sun,,strict,True,
dog,direct,dog,a dog lying in a carpet of fallen leaves,,strict,True,
dog,direct,dog,a dog at dusk with long shadows across a field,,strict,True,
dog,direct,dog,a dog standing in a vineyard row in golden light,,strict,True,
dog,direct,dog,a dog standing in a vineyard row in golden light,,strict,True,
dog,direct,dog,a dog with its nose lifted to the wind,,strict,True,
dog,direct,dog,a dog snoozing in a patch of afternoon sun,,strict,True,
dog,direct,dog,a dog at full gallop across an open plain,,strict,True,
dog,direct,dog,a close-up of a dog in soft daylight,,strict,True,
dog,direct,dog,a portrait of a dog looking directly at the camera,,strict,True,
dog,direct,dog,a dog disappearing into a tall hedgerow,,strict,True,
dog,direct,dog,a dog watching the sun sink below the horizon,,strict,True,
dog,direct,dog,a dog near water at sunset,,strict,True,
dog,direct,dog,a dog chasing its shadow on a sunlit path,,strict,True,
dog,direct,dog,a dog near water at sunset,,strict,True,
dog,direct,dog,a dog stepping out of shadow into bright sunlight,,strict,True,
dog,direct,dog,a dog resting under a canopy of autumn trees,,strict,True,
dog,direct,dog,a dog playing in an open field,,strict,True,
dog,direct,dog,a dog looking through a gap in a stone wall,,strict,True,
dog,direct,dog,a dog nosing through fallen pine needles,,strict,True,
dog,direct,dog,a dog near water at sunset,,strict,True,
dog,direct,dog,a dog framed by the arch of a stone bridge,,strict,True,
dog,direct,dog,a dog crouched low in a play bow stance,,strict,True,
dog,direct,dog,a dog trotting down a country lane,,strict,True,
dog,direct,dog,a dog stretched out lazily on a sun-warmed rock,,strict,True,
dog,direct,dog,a documentary-style photo of a dog,,strict,True,
dog,direct,dog,a dog standing in morning mist in an empty field,,strict,True,
dog,direct,dog,a dog at the edge of a snowy field,,strict,True,
dog,direct,dog,a dog circling before lying down in evening grass,,strict,True,
dog,direct,dog,a dog poking its head through a gap in a hedge,,strict,True,
dog,direct,dog,a dog sitting on a stone step in blue evening light,,strict,True,
dog,direct,dog,a dog sitting patiently on a porch step,,strict,True,
dog,direct,dog,a dog stepping out of shadow into bright sunlight,,strict,True,
dog,direct,dog,a dog sitting on a sun-bleached boulder at noon,,strict,True,
dog,direct,dog,a dog watching the sun sink below the horizon,,strict,True,
dog,direct,dog,a dog with wind-ruffled fur on a hilltop,,strict,True,
dog,direct,dog,a dog on a cliff edge gazing over a coastal vista,,strict,True,
dog,direct,dog,a dog sitting patiently on a porch step,,strict,True,
dog,direct,dog,a dog exploring a rocky shoreline,,strict,True,
dog,direct,dog,a close-up of a dog in soft daylight,,strict,True,
dog,direct,dog,a dog bounding towards the camera in open space,,strict,True,
dog,direct,dog,a dog sitting on a stone step in blue evening light,,strict,True,
dog,direct,dog,a dog standing alert in open terrain,,strict,True,
dog,direct,dog,a dog snoozing in a patch of afternoon sun,,strict,True,
dog,direct,dog,a dog lying in a carpet of fallen leaves,,strict,True,
dog,direct,dog,a dog standing in a doorway bathed in backlight,,strict,True,
dog,direct,dog,a dog at dusk with long shadows across a field,,strict,True,
dog,direct,dog,a dog lying in a carpet of fallen leaves,,strict,True,
dog,direct,dog,a dog looking back over its shoulder on a trail,,strict,True,
dog,direct,dog,a dog silhouetted against a twilight sky,,strict,True,
dog,direct,dog,a detailed image of a dog,,strict,True,
dog,direct,dog,a dog framed by the arch of a stone bridge,,strict,True,
dog,direct,dog,a dog bounding through autumn leaves,,strict,True,
