target,prompt_family,concept_label,prompt,source_context_words,lexical_mode,is_valid,validation_errors
horse,direct,horse,a high-resolution photograph of a horse in the wild,,strict,True,
horse,direct,horse,a horse framed in a wide-angle composition,,strict,True,
horse,direct,horse,a realistic depiction of a horse at late afternoon,,strict,True,
horse,direct,horse,a natural scene with a horse as the main subject,,strict,True,
horse,direct,horse,a color-rich image focused on a horse,,strict,True,
horse,direct,horse,a polished editorial photo of a horse,,strict,True,
horse,direct,horse,a studio-quality photo of a horse,,strict,True,
horse,direct,horse,a precise documentary capture of a horse,,strict,True,
horse,direct,horse,a detailed environmental portrait of a horse,,strict,True,
horse,direct,horse,a strong-composition photo featuring a horse,,strict,True,
horse,direct,horse,a scenic image focused on a horse,,strict,True,
horse,direct,horse,a realistic depiction of a horse at early morning,,strict,True,
horse,direct,horse,a strong-composition photo featuring a horse,,strict,True,
horse,direct,horse,a photorealistic image of a horse,,strict,True,
horse,direct,horse,an ultra-detailed photograph of a horse,,strict,True,
horse,direct,horse,a horse framed in a wide-angle composition,,strict,True,
horse,direct,horse,a highly detailed view of a horse,,strict,True,
horse,direct,horse,a horse with subtle atmospheric perspective,,strict,True,
horse,direct,horse,a balanced composition highlighting a horse,,strict,True,
horse,direct,horse,a horse in golden-hour lighting,,strict,True,
horse,direct,horse,a close-up of a horse in soft daylight,,strict,True,
horse,direct,horse,a vivid and detailed composition of a horse,,strict,True,
horse,direct,horse,a field photograph centered on a horse,,strict,True,
horse,direct,horse,a horse moving through its environment,,strict,True,
horse,direct,horse,a distant shot of a horse in context,,strict,True,
horse,direct,horse,a horse under warm afternoon light,,strict,True,
horse,direct,horse,a realistic scene centered on a horse,,strict,True,
horse,direct,horse,a horse near water at sunset,,strict,True,
horse,direct,horse,a naturalistic depiction of a horse,,strict,True,
horse,direct,horse,a horse captured from eye level,,strict,True,
horse,direct,horse,a horse under warm afternoon light,,strict,True,
horse,direct,horse,a realistic image of a horse with environmental detail,,strict,True,
horse,direct,horse,a carefully lit photograph of a horse,,strict,True,
horse,direct,horse,a realistic depiction of a horse at late afternoon,,strict,True,
horse,direct,horse,a photo of a horse in a natural setting,,strict,True,
horse,direct,horse,a high-resolution editorial image of a horse,,strict,True,
horse,direct,horse,a horse in balanced lighting conditions,,strict,True,
horse,direct,horse,a realistic depiction of a horse at midday,,strict,True,
horse,direct,horse,a horse in a serene setting,,strict,True,
horse,direct,horse,a photorealistic image of a horse,,strict,True,
