target,prompt_family,concept_label,prompt,source_context_words,lexical_mode,is_valid,validation_errors
bear,direct,bear,A bear wading a cold lake edge at dawn,,strict,True,
bear,direct,bear,A brown bear in a ferny hollow,,strict,True,
bear,direct,bear,A polar bear in a huckleberry patch in late summer,,strict,True,
bear,direct,bear,A wild bear in a huckleberry patch in late summer,,strict,True,
bear,direct,bear,A solitary bear in a subalpine meadow,,strict,True,
bear,direct,bear,A large bear in a sunlit forest clearing,,strict,True,
bear,direct,bear,A black bear in a coastal rainforest,,strict,True,
bear,direct,bear,Bears crossing a two lane road in a national park,,strict,True,
bear,direct,bear,A lone bear in a dark spruce thicket,,strict,True,
bear,direct,bear,Bears seen from a raised boardwalk in morning fog,,strict,True,
bear,direct,bear,A lone bear in a dense evergreen stand,,strict,True,
bear,direct,bear,A polar bear in a ferny hollow,,strict,True,
bear,direct,bear,Bears seen from a raised boardwalk in morning fog,,strict,True,
bear,direct,bear,A black bear in a huckleberry patch in late summer,,strict,True,
bear,direct,bear,A grizzly bear in a ferny hollow,,strict,True,
bear,direct,bear,A brown bear in a ferny hollow,,strict,True,
bear,direct,bear,A black bear in a misty forest,,strict,True,
bear,direct,bear,A lone bear in morning fog in a valley,,strict,True,
bear,direct,bear,A lone bear in a sunlit forest clearing,,strict,True,
bear,direct,bear,A black bear in a subalpine meadow,,strict,True,
bear,direct,bear,A bear walking through tall grass on a mountain bench,,strict,True,
bear,direct,bear,A young bear and its sibling wrestling in a sunny clearing,,strict,True,
bear,direct,bear,A wild bear in a ferny hollow,,strict,True,
bear,direct,bear,A bear fishing in a clear mountain stream,,strict,True,
bear,direct,bear,A brown bear in a subalpine meadow,,strict,True,
bear,direct,bear,A bear resting in soft snow beside willow shrubs,,strict,True,
bear,direct,bear,A grizzly bear in a coastal rainforest,,strict,True,
bear,direct,bear,A bear crossing a gravel river bar in pale light,,strict,True,
bear,direct,bear,A black bear in a ferny hollow,,strict,True,
bear,direct,bear,A wild bear in a coastal rainforest,,strict,True,
bear,direct,bear,A bear resting in soft snow beside willow shrubs,,strict,True,
bear,direct,bear,A wild bear in deep winter snow,,strict,True,
bear,direct,bear,A lone bear in deep winter snow,,strict,True,
bear,direct,bear,A polar bear in a huckleberry patch in late summer,,strict,True,
bear,direct,bear,A bear standing in shallow river water on rounded stones,,strict,True,
bear,direct,bear,A large bear in deep winter snow,,strict,True,
bear,direct,bear,A large bear in a subalpine meadow,,strict,True,
bear,direct,bear,A polar bear in a dense evergreen stand,,strict,True,
bear,direct,bear,A mother bear and her cubs in a flowery subalpine meadow,,strict,True,
bear,direct,bear,A black bear in a huckleberry patch in late summer,,strict,True,
bear,direct,bear,A lone bear in a huckleberry patch in late summer,,strict,True,
bear,direct,bear,A polar bear in deep winter snow,,strict,True,
bear,direct,bear,A solitary bear in a sunlit forest clearing,,strict,True,
bear,direct,bear,A bear fishing in a clear mountain stream,,strict,True,
bear,direct,bear,Bears crossing a two lane road in a national park,,strict,True,
bear,direct,bear,A black bear in morning fog in a valley,,strict,True,
bear,direct,bear,Bears seen from a raised boardwalk in morning fog,,strict,True,
bear,direct,bear,A polar bear in a coastal rainforest,,strict,True,
bear,direct,bear,A lone bear in a dense evergreen stand,,strict,True,
bear,direct,bear,A brown bear in a subalpine meadow,,strict,True,
bear,direct,bear,A lone bear in a misty forest,,strict,True,
bear,direct,bear,A brown bear in morning fog in a valley,,strict,True,
bear,direct,bear,A large bear in a sunlit forest clearing,,strict,True,
bear,direct,bear,A large bear in a subalpine meadow,,strict,True,
bear,direct,bear,A grizzly bear in deep winter snow,,strict,True,
bear,direct,bear,A grizzly bear in a sunlit forest clearing,,strict,True,
bear,direct,bear,A large bear in a ferny hollow,,strict,True,
bear,direct,bear,A black bear in deep winter snow,,strict,True,
bear,direct,bear,A polar bear in a dark spruce thicket,,strict,True,
bear,direct,bear,A lone bear in a misty forest,,strict,True,
bear,direct,bear,A grizzly bear in a ferny hollow,,strict,True,
bear,direct,bear,A lone bear in a dense evergreen stand,,strict,True,
bear,direct,bear,A solitary bear in a coastal rainforest,,strict,True,
bear,direct,bear,A black bear in a sunlit forest clearing,,strict,True,
bear,direct,bear,A polar bear in morning fog in a valley,,strict,True,
bear,direct,bear,A black bear in a ferny hollow,,strict,True,
bear,direct,bear,A brown bear in morning fog in a valley,,strict,True,
bear,direct,bear,A black bear in a sunlit forest clearing,,strict,True,
bear,direct,bear,A lone bear in a dense evergreen stand,,strict,True,
bear,direct,bear,A polar bear in a misty forest,,strict,True,
bear,direct,bear,A large bear in morning fog in a valley,,strict,True,
bear,direct,bear,A wild bear in deep winter snow,,strict,True,
bear,direct,bear,A wild bear in deep winter snow,,strict,True,
bear,direct,bear,A wild bear in a coastal rainforest,,strict,True,
bear,direct,bear,A lone bear in a dense evergreen stand,,strict,True,
bear,direct,bear,A solitary bear in a misty forest,,strict,True,
bear,direct,bear,A bear ambling through pine duff after rain,,strict,True,
bear,direct,bear,A black bear in a ferny hollow,,strict,True,
bear,direct,bear,A lone bear in a subalpine meadow,,strict,True,
bear,direct,bear,A solitary bear in a dense evergreen stand,,strict,True,
bear,direct,bear,A bear foraging in a sedge flat near a glacial outwash,,strict,True,
bear,direct,bear,A polar bear in a sunlit forest clearing,,strict,True,
bear,direct,bear,A bear foraging in a sedge flat near a glacial outwash,,strict,True,
bear,direct,bear,A wild bear in a dark spruce thicket,,strict,True,
bear,direct,bear,A solitary bear in a subalpine meadow,,strict,True,
bear,direct,bear,A black bear in a coastal rainforest,,strict,True,
bear,direct,bear,A wild bear in a huckleberry patch in late summer,,strict,True,
bear,direct,bear,A lone bear in morning fog in a valley,,strict,True,
bear,direct,bear,A bear foraging in a sedge flat near a glacial outwash,,strict,True,
bear,direct,bear,A large bear in a sunlit forest clearing,,strict,True,
bear,direct,bear,A lone bear in a dark spruce thicket,,strict,True,
bear,direct,bear,A large bear in a dense evergreen stand,,strict,True,
bear,direct,bear,A grizzly bear in a misty forest,,strict,True,
bear,direct,bear,A bear scratching its back on a rough pine trunk,,strict,True,
bear,direct,bear,A polar bear in deep winter snow,,strict,True,
bear,direct,bear,A grizzly bear in a sunlit forest clearing,,strict,True,
bear,direct,bear,A wild bear in a ferny hollow,,strict,True,
bear,direct,bear,Bears crossing a two lane road in a national park,,strict,True,
bear,direct,bear,Bears seen from a raised boardwalk in morning fog,,strict,True,
bear,direct,bear,A large bear in a dark spruce thicket,,strict,True,
bear,direct,bear,A wild bear in a dark spruce thicket,,strict,True,
bear,direct,bear,Bears drinking at a misty waterhole in sagebrush,,strict,True,
bear,direct,bear,A solitary bear in a dense evergreen stand,,strict,True,
bear,direct,bear,A grizzly bear in a dense evergreen stand,,strict,True,
bear,direct,bear,A lone bear in a sunlit forest clearing,,strict,True,
bear,direct,bear,A large bear in a dark spruce thicket,,strict,True,
bear,direct,bear,A brown bear in a dark spruce thicket,,strict,True,
bear,direct,bear,A bear ambling through pine duff after rain,,strict,True,
bear,direct,bear,A lone bear in a huckleberry patch in late summer,,strict,True,
bear,direct,bear,Bears seen from a raised boardwalk in morning fog,,strict,True,
