target,prompt_family,concept_label,prompt,source_context_words,lexical_mode,is_valid,validation_errors
cat,direct,cat,a cat under warm afternoon light,,strict,True,
cat,direct,cat,a cat framed in a wide-angle composition,,strict,True,
cat,direct,cat,a realistic depiction of a cat at late afternoon,,strict,True,
cat,direct,cat,a natural scene with a cat as the main subject,,strict,True,
cat,direct,cat,a color-rich image focused on a cat,,strict,True,
cat,direct,cat,a polished editorial photo of a cat,,strict,True,
cat,direct,cat,a studio-quality photo of a cat,,strict,True,
cat,direct,cat,a precise documentary capture of a cat,,strict,True,
cat,direct,cat,a detailed environmental portrait of a cat,,strict,True,
cat,direct,cat,a strong-composition photo featuring a cat,,strict,True,
cat,direct,cat,a scenic image focused on a cat,,strict,True,
cat,direct,cat,a realistic depiction of a cat at early morning,,strict,True,
cat,direct,cat,a strong-composition photo featuring a cat,,strict,True,
cat,direct,cat,a photorealistic image of a cat,,strict,True,
cat,direct,cat,an ultra-detailed photograph of a cat,,strict,True,
cat,direct,cat,a cat framed in a wide-angle composition,,strict,True,
cat,direct,cat,a highly detailed view of a cat,,strict,True,
cat,direct,cat,a cat with subtle atmospheric perspective,,strict,True,
cat,direct,cat,a balanced composition highlighting a cat,,strict,True,
cat,direct,cat,a cat in golden-hour lighting,,strict,True,
cat,direct,cat,a detailed image of a cat,,strict,True,
cat,direct,cat,a vivid and detailed composition of a cat,,strict,True,
cat,direct,cat,a field photograph centered on a cat,,strict,True,
cat,direct,cat,a cat moving through its environment,,strict,True,
cat,direct,cat,a distant shot of a cat in context,,strict,True,
cat,direct,cat,a realistic cat standing outdoors,,strict,True,
cat,direct,cat,a realistic scene centered on a cat,,strict,True,
cat,direct,cat,a photo of a cat in a natural setting,,strict,True,
cat,direct,cat,a naturalistic depiction of a cat,,strict,True,
cat,direct,cat,a cat captured from eye level,,strict,True,
cat,direct,cat,a realistic cat standing outdoors,,strict,True,
cat,direct,cat,a realistic image of a cat with environmental detail,,strict,True,
cat,direct,cat,a carefully lit photograph of a cat,,strict,True,
cat,direct,cat,a realistic depiction of a cat at late afternoon,,strict,True,
cat,direct,cat,a high-resolution photograph of a cat in the wild,,strict,True,
cat,direct,cat,a high-resolution editorial image of a cat,,strict,True,
cat,direct,cat,a cat in balanced lighting conditions,,strict,True,
cat,direct,cat,a realistic depiction of a cat at midday,,strict,True,
cat,direct,cat,a cat in a serene setting,,strict,True,
cat,direct,cat,a photorealistic image of a cat,,strict,True,
