target,prompt_family,concept_label,prompt,source_context_words,lexical_mode,is_valid,validation_errors
castle,direct,castle,a high-resolution photograph of a castle at sunset,,strict,True,
castle,direct,castle,a castle framed in a wide-angle composition,,strict,True,
castle,direct,castle,a realistic depiction of a castle at late afternoon,,strict,True,
castle,direct,castle,a natural scene with a castle as the main subject,,strict,True,
castle,direct,castle,a color-rich image focused on a castle,,strict,True,
castle,direct,castle,a polished editorial photo of a castle,,strict,True,
castle,direct,castle,a studio-quality photo of a castle,,strict,True,
castle,direct,castle,a precise documentary capture of a castle,,strict,True,
castle,direct,castle,a detailed environmental portrait of a castle,,strict,True,
castle,direct,castle,a strong-composition photo featuring a castle,,strict,True,
castle,direct,castle,a scenic image focused on a castle,,strict,True,
castle,direct,castle,a realistic depiction of a castle at early morning,,strict,True,
castle,direct,castle,a strong-composition photo featuring a castle,,strict,True,
castle,direct,castle,a photorealistic image of a castle,,strict,True,
castle,direct,castle,an ultra-detailed photograph of a castle,,strict,True,
castle,direct,castle,a castle framed in a wide-angle composition,,strict,True,
castle,direct,castle,a highly detailed view of a castle,,strict,True,
castle,direct,castle,a castle with subtle atmospheric perspective,,strict,True,
castle,direct,castle,a balanced composition highlighting a castle,,strict,True,
castle,direct,castle,a castle in golden-hour lighting,,strict,True,
castle,direct,castle,a close-up of a castle gate in soft daylight,,strict,True,
castle,direct,castle,a vivid and detailed composition of a castle,,strict,True,
castle,direct,castle,a field photograph centered on a castle,,strict,True,
castle,direct,castle,a medieval castle surrounded by fog,,strict,True,
castle,direct,castle,a distant shot of a castle in context,,strict,True,
castle,direct,castle,a castle courtyard lit by torchlight,,strict,True,
castle,direct,castle,a realistic scene centered on a castle,,strict,True,
castle,direct,castle,a castle on a hilltop at dawn,,strict,True,
castle,direct,castle,a naturalistic depiction of a castle,,strict,True,
castle,direct,castle,a castle captured from eye level,,strict,True,
castle,direct,castle,a castle courtyard lit by torchlight,,strict,True,
castle,direct,castle,a realistic image of a castle with environmental detail,,strict,True,
castle,direct,castle,a carefully lit photograph of a castle,,strict,True,
castle,direct,castle,a realistic depiction of a castle at late afternoon,,strict,True,
castle,direct,castle,a realistic castle standing near a forest,,strict,True,
castle,direct,castle,a high-resolution editorial image of a castle,,strict,True,
castle,direct,castle,a castle in balanced lighting conditions,,strict,True,
castle,direct,castle,a realistic depiction of a castle at midday,,strict,True,
castle,direct,castle,a castle in a serene setting,,strict,True,
castle,direct,castle,a photorealistic image of a castle,,strict,True,
castle,direct,castle,a realistic mid-range image of a castle,,strict,True,
castle,direct,castle,a high-definition portrait of a castle,,strict,True,
castle,direct,castle,a neutral-toned image focused on a castle,,strict,True,
castle,direct,castle,a medieval castle surrounded by fog,,strict,True,
castle,direct,castle,a precise documentary capture of a castle,,strict,True,
castle,direct,castle,a castle at dusk with long shadows,,strict,True,
castle,direct,castle,a strong-composition photo featuring a castle,,strict,True,
castle,direct,castle,a castle with clean lines and strong contrast,,strict,True,
castle,direct,castle,a scenic image focused on a castle,,strict,True,
castle,direct,castle,a distant shot of a castle in context,,strict,True,
castle,direct,castle,a realistic long-range image of a castle,,strict,True,
castle,direct,castle,an atmospheric scene featuring a castle,,strict,True,
castle,direct,castle,a polished editorial photo of a castle,,strict,True,
castle,direct,castle,a castle in balanced lighting conditions,,strict,True,
castle,direct,castle,a high-clarity image of a castle,,strict,True,
castle,direct,castle,a castle captured with shallow depth of field,,strict,True,
castle,direct,castle,a castle near stone textures and soft shadows,,strict,True,
castle,direct,castle,a castle at sunrise with soft haze,,strict,True,
castle,direct,castle,a castle with soft highlights and shadows,,strict,True,
castle,direct,castle,a realistic long-range image of a castle,,strict,True,
castle,direct,castle,an ultra-detailed photograph of a castle,,strict,True,
castle,direct,castle,a scenic image focused on a castle,,strict,True,
castle,direct,castle,a castle positioned near a reflective surface,,strict,True,
castle,direct,castle,a castle under overcast daylight,,strict,True,
castle,direct,castle,a high-fidelity photograph of a castle,,strict,True,
castle,direct,castle,a naturalistic depiction of a castle,,strict,True,
castle,direct,castle,an atmospheric scene featuring a castle,,strict,True,
castle,direct,castle,a castle under overcast daylight,,strict,True,
castle,direct,castle,a scenic image focused on a castle,,strict,True,
castle,direct,castle,a faithful photographic rendering of a castle,,strict,True,
castle,direct,castle,a lifestyle-style photograph featuring a castle,,strict,True,
castle,direct,castle,a realistic image of a castle with environmental detail,,strict,True,
castle,direct,castle,a realistic image of a castle with environmental detail,,strict,True,
castle,direct,castle,a castle captured from eye level,,strict,True,
castle,direct,castle,a scenic image focused on a castle,,strict,True,
castle,direct,castle,a realistic image of a castle with depth,,strict,True,
castle,direct,castle,a detailed image of a castle,,strict,True,
castle,direct,castle,a naturalistic depiction of a castle,,strict,True,
castle,direct,castle,a compelling visual of a castle in daylight,,strict,True,
castle,direct,castle,a castle in a softly lit open area,,strict,True,
castle,direct,castle,a grand castle reflected in a lake,,strict,True,
castle,direct,castle,a sharp and detailed capture of a castle,,strict,True,
castle,direct,castle,a grand castle reflected in a lake,,strict,True,
castle,direct,castle,a castle captured from a high angle,,strict,True,
castle,direct,castle,a color-rich image focused on a castle,,strict,True,
castle,direct,castle,a studio-quality photo of a castle,,strict,True,
castle,direct,castle,a natural scene with a castle as the main subject,,strict,True,
castle,direct,castle,a castle with subtle atmospheric perspective,,strict,True,
castle,direct,castle,a grand castle reflected in a lake,,strict,True,
castle,direct,castle,a polished editorial photo of a castle,,strict,True,
castle,direct,castle,a detailed environmental portrait of a castle,,strict,True,
castle,direct,castle,a castle beside a path in natural light,,strict,True,
castle,direct,castle,a castle against a softly blurred background,,strict,True,
castle,direct,castle,a stone castle under warm afternoon light,,strict,True,
castle,direct,castle,a high-definition portrait of a castle,,strict,True,
castle,direct,castle,a castle captured with shallow depth of field,,strict,True,
castle,direct,castle,a field photograph centered on a castle,,strict,True,
castle,direct,castle,a precise documentary capture of a castle,,strict,True,
castle,direct,castle,a strong-composition photo featuring a castle,,strict,True,
castle,direct,castle,a castle near a tree line,,strict,True,
castle,direct,castle,a castle captured from a high angle,,strict,True,
castle,direct,castle,a still and focused view of a castle,,strict,True,
castle,direct,castle,a castle in a softly lit open area,,strict,True,
castle,direct,castle,a documentary image showing a castle,,strict,True,
castle,direct,castle,a balanced composition highlighting a castle,,strict,True,
castle,direct,castle,a castle near a tree line,,strict,True,
castle,direct,castle,a castle with dramatic side lighting,,strict,True,
castle,direct,castle,a detailed image of a castle,,strict,True,
castle,direct,castle,a realistic mid-range image of a castle,,strict,True,
castle,direct,castle,a strong-composition photo featuring a castle,,strict,True,
castle,direct,castle,a castle at dusk with long shadows,,strict,True,
castle,direct,castle,a scenic image focused on a castle,,strict,True,
castle,direct,castle,a faithful photographic rendering of a castle,,strict,True,
castle,direct,castle,a castle in a natural documentary frame,,strict,True,
castle,direct,castle,a lifestyle-style photograph featuring a castle,,strict,True,
castle,direct,castle,a faithful photographic rendering of a castle,,strict,True,
castle,direct,castle,a clean composition with a castle as the subject,,strict,True,
castle,direct,castle,a castle under soft cloudy skies,,strict,True,
castle,direct,castle,a close-up of a castle gate in soft daylight,,strict,True,
castle,direct,castle,a polished editorial photo of a castle,,strict,True,
castle,direct,castle,a castle illuminated by warm ambient light,,strict,True,
castle,direct,castle,a close perspective of a castle with rich detail,,strict,True,
castle,direct,castle,a realistic close-range image of a castle,,strict,True,
castle,direct,castle,a documentary-style photo of a castle,,strict,True,
castle,direct,castle,a castle with sharp textures and fine detail,,strict,True,
castle,direct,castle,a balanced composition highlighting a castle,,strict,True,
castle,direct,castle,a high-clarity image of a castle,,strict,True,
castle,direct,castle,a precise documentary capture of a castle,,strict,True,
castle,direct,castle,a fine-art style photograph of a castle,,strict,True,
castle,direct,castle,an atmospheric scene featuring a castle,,strict,True,
castle,direct,castle,a realistic depiction of a castle at early morning,,strict,True,
castle,direct,castle,a castle framed in a wide-angle composition,,strict,True,
castle,direct,castle,a realistic mid-range image of a castle,,strict,True,
castle,direct,castle,a castle under overcast daylight,,strict,True,
castle,direct,castle,a castle with neutral color tones,,strict,True,
castle,direct,castle,a detailed sunlight image of a castle,,strict,True,
